customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Numeric,tenure_group,charges_per_tenure,service_count,has_addons,has_premium_support,contract_stability,is_high_value,auto_payment,senior_alone,monthly_total_ratio
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,0,0-1 Year,15.557692307692308,0,0,0,1,0,1,0,0.0974169741697417
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,1,0-1 Year,10.075,0,0,0,0,0,0,0,0.9527186761229315
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,0,4+ Years,59.40847457627118,2,1,1,2,0,1,0,0.017084509854254016
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,0,4+ Years,59.406000000000006,3,1,1,0,0,1,0,0.020058560226163633
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,0,2-4 Years,49.37419354838709,2,1,0,0,0,1,0,0.03610603290676417
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,1,2-4 Years,98.940625,3,1,0,0,1,0,0,0.020915128995926444
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,1,0-1 Year,15.1,1,1,0,0,0,0,0,0.967948717948718
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,0,4+ Years,87.2527397260274,6,1,1,2,1,1,0,0.014166974075614753
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,1,1-2 Years,60.727777777777774,2,1,0,0,0,0,0,0.05913536239831826
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,0,4+ Years,93.98541666666667,4,1,1,2,1,1,0,0.014236216284103754
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0,0-1 Year,60.550000000000004,3,1,0,0,1,1,0,0.5228579249931563
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,0,2-4 Years,66.94464285714285,4,1,1,1,0,0,0,0.03527153483164041
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0,0-1 Year,10.1,0,0,0,0,0,1,0,0.9528301886792453
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0,0-1 Year,22.625,0,0,0,0,0,1,1,0.9783783783783784
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,0,4+ Years,99.33835616438355,4,1,1,2,1,1,0,0.013774180649964841
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,1,0-1 Year,52.81666666666666,0,0,0,0,0,0,0,0.21925133689839574
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,0,2-4 Years,75.49574468085106,1,1,0,0,1,1,0,0.021074578085819737
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,1,2-4 Years,101.40714285714286,4,1,0,0,1,0,0,0.02995563692697697
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,1,0-1 Year,92.11666666666667,3,1,0,0,1,1,0,0.08843998553868401
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,0,0-1 Year,43.24545454545454,1,1,0,1,0,0,0,0.1039437801552339
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,0,4+ Years,68.62464788732395,3,1,0,2,0,1,0,0.01419967783967907
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,0,1-2 Years,23.23611111111111,0,0,0,1,0,0,0,0.04949314251639833
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,0,4+ Years,75.96015625,5,1,1,2,1,1,0,0.016421762691647215
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,0,1-2 Years,70.10357142857143,4,1,1,0,1,0,0,0.07756119904320831
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,0,4+ Years,78.134,1,1,0,0,1,0,0,0.021623973181155155
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,0,0-1 Year,32.333333333333336,1,1,0,0,0,0,0,0.5025510204081632
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,1,0-1 Year,48.050000000000004,1,1,0,0,1,0,0,0.555632104719256
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,0,4+ Years,79.5811320754717,4,1,1,2,1,1,0,0.01890347966246326
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,0,4+ Years,60.77285714285715,3,1,1,2,0,1,0,0.015076026415360391
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,0,2-4 Years,87.24431818181819,2,1,0,0,1,0,1,0.023504134383748942
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,1,1-2 Years,89.15,4,1,0,0,1,1,0,0.06942693008266777
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,0,2-4 Years,67.40961538461539,3,1,1,0,0,1,0,0.039631625466883355
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,1,0-1 Year,70.36666666666666,1,1,0,0,1,1,0,0.12714803720636925
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,0,4+ Years,73.05491803278689,5,1,1,1,1,1,0,0.01679248881061617
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,1,1-2 Years,92.23947368421052,2,1,0,0,1,0,1,0.05443243705625731
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,0,4+ Years,98.6125,3,1,0,1,1,1,0,0.01578688888184785
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,0,4+ Years,105.61716417910448,5,1,1,1,1,0,0,0.0153235321130084
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,0,2-4 Years,25.55142857142857,0,0,0,2,0,1,0,0.02786775382553334
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,0,4+ Years,107.58493150684932,4,1,1,2,1,1,0,0.013686073306428
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,0,2-4 Years,98.06458333333335,3,1,0,0,1,0,0,0.021346190607676133
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,0,4+ Years,89.35573770491803,2,1,0,0,1,1,0,0.01649026909037548
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,0,4+ Years,40.57534246575342,3,1,0,2,0,1,0,0.01420857239284509
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,0,1-2 Years,50.373684210526314,2,1,1,1,0,1,0,0.056779041853668714
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,1,0-1 Year,85.725,2,1,0,0,1,0,0,0.10999126128750365
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0,0-1 Year,61.025,4,1,1,0,1,0,0,0.3072215422276622
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,0,2-4 Years,76.04895833333333,1,1,0,1,1,0,0,0.02160844619113479
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,0,2-4 Years,78.0375,5,1,1,2,1,0,0,0.03170282603474502
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,0,4+ Years,18.25294117647059,0,0,0,2,0,1,0,0.021622491683657045
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,0,0-1 Year,80.66818181818182,2,1,0,0,1,0,0,0.08988574323183429
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,0,0-1 Year,24.525,1,1,1,0,0,0,0,0.98001998001998
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,0,4+ Years,20.578301886792456,0,0,0,1,0,0,0,0.01868730820317867
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,0,4+ Years,109.21538461538462,5,1,1,2,1,1,0,0.015718309859154928
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0,4+ Years,22.61269841269841,0,0,0,2,0,1,0,0.01701038159371493
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0,0-1 Year,44.35,3,1,1,0,0,1,0,0.3615470852017937
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,0,4+ Years,107.71052631578948,5,1,0,1,1,0,1,0.017995277257552317
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,0,2-4 Years,57.2095744680851,1,1,0,1,0,1,0,0.02068888599736045
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,0,0-1 Year,53.583333333333336,2,1,0,0,0,0,0,0.11308846352819452
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,0,2-4 Years,68.10645161290323,4,1,0,0,1,0,1,0.03538796572456564
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,0,2-4 Years,26.44782608695652,0,0,0,1,0,1,0,0.021271353482260183
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,1,0-1 Year,39.675,1,1,0,0,1,0,0,0.9875544492843809
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,0,0-1 Year,47.112500000000004,3,1,0,0,0,0,0,0.0892557605720844
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,1,0-1 Year,62.1125,1,1,0,0,1,1,0,0.15093392247439247
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,0,2-4 Years,100.63953488372093,5,1,1,0,1,1,0,0.02398059373917061
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0,4+ Years,19.467,0,0,0,2,0,1,0,0.02068045363575717
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0,0-1 Year,91.875,3,1,0,0,1,1,0,0.10796412068496875
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,0,2-4 Years,61.540277777777774,2,1,0,1,0,1,0,0.028040334769563944
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,0,2-4 Years,21.571428571428573,0,0,0,2,0,1,0,0.0195179584120983
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,0,2-4 Years,19.72553191489362,0,0,0,2,0,0,0,0.02149552849908415
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,0,2-4 Years,33.641666666666666,1,1,0,0,0,0,0,0.0334075723830735
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,0,2-4 Years,82.90967741935484,2,1,0,0,1,1,0,0.031911169881767266
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,0,0-1 Year,37.35,1,1,1,0,1,0,1,0.9867899603698811
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,0,4+ Years,85.28731343283582,5,1,1,2,1,0,0,0.014697519793534841
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,0,4+ Years,107.68181818181819,5,1,0,0,1,1,0,0.015623241418120427
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,0,4+ Years,102.17876712328767,4,1,0,2,1,1,0,0.013525378516229784
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,1,0-1 Year,71.33461538461539,1,1,0,0,1,0,0,0.0850433564927021
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,0,4+ Years,65.95416666666667,3,1,1,1,0,1,0,0.014074573130934584
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,1,0-1 Year,18.974999999999998,0,0,0,0,0,0,0,0.18328254244666958
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,0,4+ Years,20.89056603773585,0,0,0,2,0,1,0,0.018949648077964266
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,1,2-4 Years,96.71153846153847,4,1,0,0,1,0,0,0.03915722520373683
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0,0-1 Year,10.1,0,0,0,0,0,0,0,0.9528301886792453
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0,0-1 Year,9.725,0,0,0,0,0,0,0,0.9511002444987775
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,0,2-4 Years,92.45128205128205,3,1,1,1,1,1,0,0.026340597792935176
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,0,4+ Years,45.18283582089552,3,1,0,1,0,1,0,0.015041690745480061
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,1,4+ Years,110.31666666666668,5,1,1,2,1,1,0,0.014449253564696531
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,0,0-1 Year,16.7,0,0,0,0,0,0,0,0.24011857707509882
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,0,4+ Years,100.04178082191781,4,1,0,1,1,0,0,0.014259212354789467
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,0,2-4 Years,28.11060606060606,1,1,0,1,0,0,0,0.0324664836052334
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,0,2-4 Years,89.12045454545455,2,1,0,1,1,0,0,0.024054763786553805
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,0,4+ Years,18.674657534246574,0,0,0,2,0,1,0,0.014220267546270845
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,1,4+ Years,93.55178571428571,3,1,0,0,1,0,0,0.018464092826198975
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,0,4+ Years,57.40094339622642,3,1,1,1,0,1,0,0.019042142446397767
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,0,2-4 Years,89.86590909090908,3,1,0,0,1,0,0,0.02317261257616748
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,1,2-4 Years,75.47763157894737,0,0,0,0,1,0,0,0.026662948957008173
